unit: MeV 
spectrum:
3.720371037103710199e-01 1.000000000000000048e-04
3.730372037203720237e-01 1.000000000000000048e-04
3.740373037303730275e-01 1.000000000000000048e-04
3.750374037403740313e-01 1.000000000000000048e-04
3.760375037503750351e-01 1.000000000000000048e-04
3.770376037603760389e-01 1.000000000000000048e-04
3.780377037703770426e-01 1.000000000000000048e-04
3.790378037803780464e-01 1.000000000000000048e-04
3.800379037903790502e-01 1.000000000000000048e-04
3.810380038003800540e-01 1.000000000000000048e-04
3.820381038103810578e-01 1.000000000000000048e-04
3.830382038203820616e-01 1.000000000000000048e-04
3.840383038303830654e-01 1.000000000000000048e-04
3.850384038403840137e-01 1.000000000000000048e-04
3.860385038503850175e-01 1.000000000000000048e-04
3.870386038603860213e-01 1.000000000000000048e-04
3.880387038703870251e-01 1.000000000000000048e-04
3.890388038803880288e-01 1.000000000000000048e-04
3.900389038903890326e-01 1.000000000000000048e-04
3.910390039003900364e-01 1.000000000000000048e-04
3.920391039103910402e-01 1.000000000000000048e-04
3.930392039203920440e-01 1.000000000000000048e-04
3.940393039303930478e-01 1.000000000000000048e-04
3.950394039403940516e-01 1.000000000000000048e-04
3.960395039503950554e-01 1.000000000000000048e-04
3.970396039603960592e-01 1.000000000000000048e-04
3.980397039703970630e-01 1.000000000000000048e-04
3.990398039803980668e-01 1.000000000000000048e-04
4.000399039903990706e-01 1.000000000000000048e-04
4.010400040004000188e-01 1.000000000000000048e-04
4.020401040104010226e-01 1.000000000000000048e-04
4.030402040204020264e-01 1.000000000000000048e-04
4.040403040304030302e-01 1.000000000000000048e-04
4.050404040404040340e-01 1.000000000000000048e-04
4.060405040504050378e-01 1.000000000000000048e-04
4.070406040604060416e-01 1.000000000000000048e-04
4.080407040704070454e-01 1.000000000000000048e-04
4.090408040804080492e-01 1.000000000000000048e-04
4.100409040904090530e-01 1.000000000000000048e-04
4.110410041004100568e-01 1.000000000000000048e-04
4.120411041104110605e-01 1.000000000000000048e-04
4.130412041204120643e-01 1.000000000000000048e-04
4.140413041304130681e-01 1.000000000000000048e-04
4.150414041404140719e-01 1.000000000000000048e-04
4.160415041504150202e-01 1.000000000000000048e-04
4.170416041604160240e-01 1.000000000000000048e-04
