unit: GeV 
spectrum:
3.827198271982720085e-02 1.964861261626387545e+01
3.837188371883718668e-02 1.958303560213119709e+01
3.847178471784717946e-02 1.951781061755297486e+01
3.857168571685717223e-02 1.945293491817834308e+01
3.867158671586715807e-02 1.938840578802165027e+01
3.877148771487715084e-02 1.932422053909704829e+01
3.887138871388714362e-02 1.926037651105870907e+01
3.897128971289712945e-02 1.919687107084650179e+01
3.907119071190712223e-02 1.913370161233718036e+01
3.917109171091710806e-02 1.907086555600088573e+01
3.927099270992710084e-02 1.900836034856287071e+01
3.937089370893709361e-02 1.894618346267040465e+01
3.947079470794707945e-02 1.888433239656473361e+01
3.957069570695707222e-02 1.882280467375795396e+01
3.967059670596705806e-02 1.876159784271488462e+01
3.977049770497705083e-02 1.870070947653958271e+01
3.987039870398704361e-02 1.864013717266672998e+01
3.997029970299702945e-02 1.857987855255751342e+01
4.007020070200702222e-02 1.851993126140013146e+01
4.017010170101701499e-02 1.846029296781476248e+01
4.027000270002700083e-02 1.840096136356289591e+01
4.036990369903699361e-02 1.834193416326098003e+01
4.046980469804697944e-02 1.828320910409837552e+01
4.056970569705697222e-02 1.822478394555935921e+01
4.066960669606696499e-02 1.816665646914934484e+01
4.076950769507695083e-02 1.810882447812508289e+01
4.086940869408694360e-02 1.805128579722873994e+01
4.096930969309692944e-02 1.799403827242601750e+01
4.106921069210692221e-02 1.793707977064797987e+01
4.116911169111691499e-02 1.788040817953667272e+01
4.126901269012690776e-02 1.782402140719446848e+01
4.136891368913689360e-02 1.776791738193696801e+01
4.146881468814688637e-02 1.771209405204956511e+01
4.156871568715687221e-02 1.765654938554745357e+01
4.166861668616686498e-02 1.760128136993911596e+01
4.176851768517685776e-02 1.754628801199319810e+01
4.186841868418684359e-02 1.749156733750873016e+01
4.196831968319683637e-02 1.743711739108861991e+01
4.206822068220682220e-02 1.738293623591636461e+01
4.216812168121681498e-02 1.732902195353597108e+01
4.226802268022680775e-02 1.727537264363494884e+01
4.236792367923679359e-02 1.722198642383042966e+01
4.246782467824678636e-02 1.716886142945822868e+01
4.256772567725677914e-02 1.711599581336499298e+01
4.266762667626676497e-02 1.706338774570311401e+01
4.276752767527675775e-02 1.701103541372866346e+01
4.286742867428674358e-02 1.695893702160208250e+01
4.296732967329673636e-02 1.690709079019161010e+01
4.306723067230672913e-02 1.685549495687956423e+01
4.316713167131671497e-02 1.680414777537121651e+01
4.326703267032670774e-02 1.675304751550632076e+01
4.336693366933669358e-02 1.670219246307331318e+01
4.346683466834668635e-02 1.665158091962599229e+01
4.356673566735667913e-02 1.660121120230278891e+01
4.366663666636666497e-02 1.655108164364846957e+01
4.376653766537665774e-02 1.650119059143830569e+01
4.386643866438665051e-02 1.645153640850464782e+01
4.396633966339663635e-02 1.640211747256584829e+01
4.406624066240662912e-02 1.635293217605750016e+01
4.416614166141661496e-02 1.630397892596603526e+01
4.426604266042660774e-02 1.625525614366446447e+01
4.436594365943660051e-02 1.620676226475045922e+01
4.446584465844658635e-02 1.615849573888650070e+01
4.456574565745657912e-02 1.611045502964226728e+01
4.466564665646656496e-02 1.606263861433908602e+01
4.476554765547655773e-02 1.601504498389649456e+01
4.486544865448655051e-02 1.596767264268083863e+01
4.496534965349653634e-02 1.592052010835588938e+01
4.506525065250652912e-02 1.587358591173544298e+01
4.516515165151652189e-02 1.582686859663790635e+01
4.526505265052650773e-02 1.578036671974275329e+01
4.536495364953650050e-02 1.573407885044893639e+01
4.546485464854648634e-02 1.568800357073512153e+01
4.556475564755647911e-02 1.564213947502178215e+01
4.566465664656647189e-02 1.559648517003511436e+01
4.576455764557645772e-02 1.555103927467269287e+01
4.586445864458645050e-02 1.550580041987092628e+01
4.596435964359643633e-02 1.546076724847422312e+01
4.606426064260642911e-02 1.541593841510585783e+01
4.616416164161642188e-02 1.537131258604051531e+01
4.626406264062640772e-02 1.532688843907849652e+01
4.636396363963640049e-02 1.528266466342152263e+01
4.646386463864639327e-02 1.523863995955019135e+01
4.656376563765637910e-02 1.519481303910295900e+01
4.666366663666637188e-02 1.515118262475668942e+01
4.676356763567635771e-02 1.510774745010877851e+01
4.686346863468635049e-02 1.506450625956070333e+01
4.696336963369634326e-02 1.502145780820314869e+01
4.706327063270632910e-02 1.497860086170253169e+01
4.716317163171632187e-02 1.493593419618899176e+01
4.726307263072630771e-02 1.489345659814579470e+01
4.736297362973630048e-02 1.485116686430015243e+01
4.746287462874629326e-02 1.480906380151540169e+01
4.756277562775627910e-02 1.476714622668456478e+01
4.766267662676627187e-02 1.472541296662520161e+01
4.776257762577626464e-02 1.468386285797565094e+01
4.786247862478625048e-02 1.464249474709251508e+01
4.796237962379624326e-02 1.460130748994944128e+01
4.806228062280622909e-02 1.456029995203718208e+01
4.816218162181622187e-02 1.451947100826487258e+01
4.826208262082621464e-02 1.447881954286255990e+01
4.836198361983620048e-02 1.443834444928492111e+01
4.846188461884619325e-02 1.439804463011618196e+01
4.856178561785617909e-02 1.435791899697619733e+01
4.866168661686617186e-02 1.431796647042771120e+01
4.876158761587616464e-02 1.427818597988474458e+01
4.886148861488615047e-02 1.423857646352209017e+01
4.896138961389614325e-02 1.419913686818593668e+01
4.906129061290613602e-02 1.415986614930558929e+01
4.916119161191612186e-02 1.412076327080625227e+01
4.926109261092611463e-02 1.408182720502286323e+01
4.936099360993610047e-02 1.404305693261500210e+01
4.946089460894609324e-02 1.400445144248281792e+01
4.956079560795608602e-02 1.396600973168395576e+01
4.966069660696607185e-02 1.392773080535152275e+01
4.976059760597606463e-02 1.388961367661300272e+01
4.986049860498605046e-02 1.385165736651017099e+01
4.996039960399604324e-02 1.381386090391997001e+01
5.006030060300603601e-02 1.377622332547631423e+01
5.016020160201602185e-02 1.373874367549285225e+01
5.026010260102601462e-02 1.370142100588661904e+01
5.036000360003600740e-02 1.366425437610264737e+01
5.045990459904599323e-02 1.362724285303941585e+01
5.055980559805598601e-02 1.359038551097521896e+01
5.065970659706597184e-02 1.355368143149540039e+01
5.075960759607596462e-02 1.351712970342044251e+01
5.085950859508595739e-02 1.348072942273490327e+01
5.095940959409594323e-02 1.344447969251718789e+01
5.105931059310593600e-02 1.340837962287014662e+01
5.115921159211592184e-02 1.337242833085249671e+01
5.125911259112591462e-02 1.333662494041102065e+01
5.135901359013590739e-02 1.330096858231357437e+01
5.145891458914589323e-02 1.326545839408289140e+01
5.155881558815588600e-02 1.323009351993110272e+01
5.165871658716587878e-02 1.319487311069507740e+01
5.175861758617586461e-02 1.315979632377248087e+01
5.185851858518585739e-02 1.312486232305857037e+01
5.195841958419584322e-02 1.309007027888373287e+01
5.205832058320583600e-02 1.305541936795172830e+01
5.215822158221582877e-02 1.302090877327865748e+01
5.225812258122581461e-02 1.298653768413262455e+01
5.235802358023580738e-02 1.295230529597406743e+01
5.245792457924579322e-02 1.291821081039682539e+01
5.255782557825578599e-02 1.288425343506980347e+01
5.265772657726577877e-02 1.285043238367938478e+01
5.275762757627576460e-02 1.281674687587241834e+01
5.285752857528575738e-02 1.278319613719990144e+01
5.295742957429575015e-02 1.274977939906129087e+01
5.305733057330573599e-02 1.271649589864944119e+01
5.315723157231572876e-02 1.268334487889614159e+01
5.325713257132571460e-02 1.265032558841832255e+01
5.335703357033570737e-02 1.261743728146478993e+01
5.345693456934570015e-02 1.258467921786362709e+01
5.355683556835568598e-02 1.255205066297014227e+01
5.365673656736567876e-02 1.251955088761541290e+01
5.375663756637566459e-02 1.248717916805539652e+01
5.385653856538565737e-02 1.245493478592062253e+01
5.395643956439565014e-02 1.242281702816643296e+01
5.405634056340563598e-02 1.239082518702376134e+01
5.415624156241562875e-02 1.235895855995047476e+01
5.425614256142562153e-02 1.232721644958327545e+01
5.435604356043560736e-02 1.229559816369006242e+01
5.445594455944560014e-02 1.226410301512289891e+01
5.455584555845558598e-02 1.223273032177142738e+01
5.465574655746557875e-02 1.220147940651686191e+01
5.475564755647557152e-02 1.217034959718641574e+01
5.485554855548555736e-02 1.213934022650828304e+01
5.495544955449555014e-02 1.210845063206707906e+01
5.505535055350553597e-02 1.207768015625978464e+01
5.515525155251552875e-02 1.204702814625213847e+01
5.525515255152552152e-02 1.201649395393555508e+01
5.535505355053550736e-02 1.198607693588445144e+01
5.545495454954550013e-02 1.195577645331407979e+01
5.555485554855549291e-02 1.192559187203879034e+01
5.565475654756547874e-02 1.189552256243075057e+01
5.575465754657547152e-02 1.186556789937910317e+01
5.585455854558545735e-02 1.183572726224958593e+01
5.595445954459545013e-02 1.180600003484454064e+01
