#ZVView-data-copy:  10-Jul-2025 09:26:47
#=======================================
#
#name:   ENDF/B-VIII.1: XE-132(N,G)XE-133
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2792
#data...
#            X            Y
#          MeV        barns
   0.000425567   0.00459783 
   0.000432823    0.0048533 
   0.000440079   0.00514012 
   0.000446339   0.00541145 
   0.000452102   0.00568804 
   0.000457865    0.0059891 
   0.000463097   0.00628907 
    0.00046833   0.00661665 
   0.000473562   0.00697511 
   0.000478795   0.00736837 
   0.000484027   0.00780099 
    0.00048926   0.00827833 
   0.000494492   0.00880667 
   0.000499725   0.00939336 
   0.000503776    0.0098933 
   0.000507827    0.0104385 
   0.000511878    0.0110345 
   0.000515929    0.0116878 
    0.00051998    0.0124059 
   0.000524031    0.0131977 
   0.000528083    0.0140737 
   0.000532134    0.0150467 
   0.000536534    0.0162283 
   0.000540405    0.0173968 
    0.00054401    0.0186107 
   0.000547615    0.0199567 
   0.000550018    0.0209434 
   0.000553623    0.0225697 
   0.000556327    0.0239258 
    0.00055905     0.025424 
   0.000561782    0.0270792 
   0.000564514    0.0289079 
   0.000567246    0.0309356 
   0.000569978    0.0331921 
    0.00057271     0.035713 
   0.000575442    0.0385418 
    0.00057746    0.0408566 
   0.000579478    0.0433949 
   0.000581358    0.0459859 
   0.000583239    0.0488222 
    0.00058512    0.0519359 
      0.000587    0.0553644 
   0.000588881     0.059152 
   0.000590762    0.0633468 
   0.000592506    0.0676603 
    0.00059425    0.0724344 
   0.000595615     0.076543 
    0.00059698    0.0810178 
    0.00059839    0.0860729 
   0.000599891    0.0920017 
    0.00060112    0.0973283 
   0.000602439     0.103589 
   0.000603772     0.110558 
   0.000605194     0.118812 
   0.000606344     0.126186 
   0.000607366      0.13334 
   0.000608282     0.140291 
    0.00060955     0.150861 
   0.000610607     0.160619 
   0.000611664     0.171368 
   0.000612671     0.182654 
   0.000613678     0.195103 
   0.000614496     0.206189 
   0.000615314     0.218258 
   0.000616132     0.231428 
    0.00061695     0.245837 
   0.000617768     0.261647 
   0.000618706     0.281739 
   0.000619371     0.297442 
   0.000620036     0.314506 
   0.000620702     0.333085 
   0.000621335     0.352365 
   0.000621969     0.373381 
   0.000622602     0.396346 
   0.000623236     0.421511 
   0.000623869     0.449164 
   0.000624418     0.475394 
   0.000625094     0.510962 
   0.000625601     0.540346 
   0.000626108     0.572358 
   0.000626614     0.607317 
   0.000627097     0.643652 
   0.000627566     0.682303 
   0.000628036     0.724557 
   0.000628506     0.770873 
   0.000628976      0.82179 
   0.000629439     0.877073 
   0.000629888     0.936227 
   0.000630337      1.00159 
   0.000630786      1.07407 
   0.000631235      1.15472 
   0.000631684      1.24483 
   0.000631984       1.3109 
   0.000632283      1.38238 
   0.000632582      1.45988 
   0.000632882      1.54409 
   0.000633181      1.63581 
   0.000633481      1.73593 
    0.00063378      1.84551 
   0.000634079      1.96575 
   0.000634409      2.11208 
   0.000634656      2.23283 
   0.000634903      2.36425 
    0.00063515      2.50766 
   0.000635396      2.66452 
   0.000635684      2.86626 
   0.000635899      3.03293 
   0.000636115      3.21451 
   0.000636331      3.41284 
   0.000636546      3.63004 
   0.000636786       3.8965 
   0.000636965      4.11599 
   0.000637145      4.35446 
   0.000637324      4.61414 
   0.000637504      4.89758 
   0.000637684      5.20776 
   0.000637863      5.54809 
   0.000638043      5.92258 
   0.000638223      6.33586 
   0.000638402      6.79341 
   0.000638582      7.30167 
   0.000638761      7.86825 
   0.000638941      8.50222 
   0.000639061      8.96757 
   0.000639181      9.47135 
     0.0006393      10.0178 
    0.00063942      10.6116 
   0.000639573      11.4463 
   0.000639725      12.3801 
   0.000639827      13.0653 
   0.000639929      13.8066 
   0.000640031      14.6101 
   0.000640133      15.4824 
   0.000640234      16.4311 
   0.000640354      17.6562 
   0.000640474       19.014 
   0.000640564      20.1298 
   0.000640653      21.3383 
   0.000640743      22.6484 
   0.000640833      24.0697 
   0.000640923      25.6129 
   0.000641013      27.2889 
   0.000641103      29.1095 
   0.000641192      31.0866 
   0.000641282      33.2324 
   0.000641372      35.5587 
   0.000641462      38.0766 
   0.000641552      40.7954 
   0.000641641      43.7223 
   0.000641731      46.8613 
   0.000641851      51.3745 
   0.000641971      56.2451 
   0.000642091       61.432 
   0.000642282      70.2047 
   0.000642546      82.4158 
   0.000642677      88.0997 
   0.000642805      93.0213 
   0.000642901      96.1788 
   0.000642997      98.7727 
   0.000643093      100.721 
   0.000643189      101.959 
   0.000643266       102.41 
   0.000643299      102.453 
   0.000643392      102.082 
   0.000643469      101.235 
   0.000643546       99.918 
   0.000643649      97.4804 
   0.000643752      94.3485 
   0.000643875      89.8349 
   0.000644018      83.7979 
   0.000644234      73.8991 
   0.000644438       64.439 
   0.000644557         59.1 
   0.000644677       54.042 
   0.000644797      49.3215 
   0.000644917      44.9687 
   0.000645006      41.9516 
   0.000645096      39.1448 
   0.000645186      36.5425 
   0.000645276      34.1359 
   0.000645366      31.9148 
   0.000645455      29.8674 
   0.000645545      27.9819 
   0.000645635      26.2461 
   0.000645725      24.6481 
   0.000645815      23.1765 
   0.000645905      21.8207 
   0.000645994      20.5706 
   0.000646054      19.7913 
   0.000646174       18.351 
   0.000646294      17.0532 
   0.000646395      16.0495 
   0.000646497      15.1277 
   0.000646599      14.2796 
   0.000646701      13.4981 
   0.000646803      12.7767 
   0.000646904      12.1097 
   0.000647057      11.2001 
   0.000647168      10.6011 
   0.000647288      10.0046 
   0.000647407      9.45599 
   0.000647527       8.9503 
   0.000647647      8.48331 
   0.000647827      7.84729 
   0.000648006      7.27909 
   0.000648186      6.76955 
   0.000648365        6.311 
   0.000648545      5.89695 
   0.000648725       5.5219 
   0.000648904      5.18115 
   0.000649084      4.87069 
   0.000649264      4.58706 
   0.000649443      4.32729 
   0.000649623      4.08881 
   0.000649862       3.8001 
   0.000650055      3.58966 
   0.000650272      3.37169 
    0.00065049      3.17286 
   0.000650708        2.991 
   0.000650926      2.82422 
   0.000651144      2.67092 
   0.000651368       2.5255 
   0.000651593      2.39159 
   0.000651892      2.22895 
   0.000652191      2.08232 
   0.000652476      1.95598 
   0.000652745      1.84656 
   0.000653015      1.74599 
   0.000653284      1.65336 
   0.000653554      1.56786 
   0.000653958      1.45147 
   0.000654362      1.34752 
   0.000654646       1.2809 
   0.000654946      1.21594 
   0.000655395      1.12736 
   0.000655844      1.04808 
   0.000656293     0.976843 
   0.000656742     0.912603 
   0.000657256     0.846526 
   0.000657803     0.783834 
   0.000658349     0.727835 
   0.000658896     0.677587 
   0.000659442     0.632339 
    0.00066001     0.589918 
   0.000660622     0.548841 
   0.000661234     0.511891 
   0.000661845     0.478536 
   0.000662457     0.448324 
   0.000663068     0.420877 
   0.000663744     0.393375 
   0.000664419     0.368467 
   0.000665095     0.345841 
   0.000665771     0.325226 
   0.000666446     0.306392 
   0.000667174      0.28786 
   0.000667928     0.270371 
   0.000668683     0.254425 
   0.000669437     0.239845 
   0.000670191      0.22647 
   0.000671159     0.210872 
    0.00067209     0.197341 
    0.00067302     0.185065 
   0.000673951     0.173893 
   0.000674898     0.163524 
   0.000675861     0.153892 
   0.000676824     0.145083 
   0.000677788     0.137002 
   0.000678768     0.129452 
   0.000679764     0.122393 
   0.000680761     0.115892 
   0.000681757     0.109895 
   0.000682807     0.104079 
   0.000683909     0.098431 
   0.000685012    0.0932195 
   0.000686115    0.0884126 
   0.000687636    0.0823653 
   0.000689091    0.0771399 
   0.000690546    0.0723924 
   0.000692001    0.0680664 
   0.000693456    0.0641134 
   0.000694911    0.0604921 
   0.000696366    0.0571663 
   0.000697821    0.0541053 
   0.000699308    0.0512236 
   0.000701313    0.0476831 
   0.000703318    0.0444939 
   0.000705322     0.041611 
   0.000707327    0.0389967 
   0.000709331    0.0366186 
   0.000711336    0.0344493 
   0.000713341    0.0324652 
   0.000715314    0.0306749 
   0.000717256    0.0290503 
   0.000719198      0.02755 
   0.000722111    0.0255057 
   0.000725024    0.0236783 
   0.000727937    0.0220382 
    0.00073085    0.0205605 
   0.000733763    0.0192248 
   0.000737242    0.0177925 
   0.000739655    0.0168887 
   0.000742163    0.0160196 
   0.000745925    0.0148351 
   0.000749687    0.0137752 
   0.000753449    0.0128234 
   0.000757211    0.0119658 
   0.000761217    0.0111425 
   0.000763969    0.0106247 
   0.000768288   0.00988046 
   0.000772606   0.00921058 
   0.000776925   0.00860555 
   0.000781244   0.00805733 
   0.000785563   0.00755905 
   0.000789881   0.00710488 
     0.0007942   0.00668978 
   0.000799149   0.00625689 
   0.000804727   0.00581642 
   0.000810305   0.00542013 
   0.000815883   0.00506235 
    0.00082146   0.00473828 
   0.000827038   0.00444385 
   0.000832616   0.00417558 
   0.000838194   0.00393048 
   0.000844586   0.00367492 
   0.000851792     0.003415 
   0.000858998   0.00318127 
   0.000866204   0.00297036 
    0.00087341    0.0027794 
   0.000880616   0.00260599 
   0.000887822   0.00244806 
   0.000895028   0.00230385 
   0.000903283   0.00215357 
   0.000912588   0.00200086 
   0.000921892    0.0018636 
   0.000931197    0.0017398 
   0.000940502   0.00162779 
   0.000949806   0.00152611 
   0.000959111   0.00143357 
   0.000968415    0.0013491 
   0.000977798   0.00127118 
   0.000989625   0.00118225 
    0.00100145   0.00110208 
    0.00101091   0.00104373 
    0.00102184  0.000982088 
    0.00103277  0.000925333 
     0.0010437  0.000873705 
    0.00105463  0.000825974 
     0.0010692  0.000768396 
    0.00108084  0.000726791 
    0.00109636  0.000676259 
    0.00111188  0.000630895 
     0.0011274  0.000590034 
    0.00114292  0.000553116 
    0.00115844  0.000519667 
    0.00117396  0.000489278 
    0.00118948  0.000461603 
    0.00120656  0.000433937 
    0.00122417  0.000408103 
    0.00124178  0.000384693 
    0.00125939  0.000363433 
    0.00128065  0.000340322 
    0.00130314  0.000318496 
    0.00132562  0.000299055 
    0.00134811  0.000281707 
    0.00137358  0.000264298 
    0.00139344  0.000252119 
    0.00141991  0.000237728 
    0.00144638  0.000225153 
    0.00147228  0.000214435 
    0.00149759  0.000205335 
     0.0015229  0.000197502 
    0.00154822  0.000190864 
    0.00157345  0.000185389 
    0.00159862  0.000181049 
    0.00162587  0.000177619 
    0.00164788  0.000175889 
    0.00167356  0.000174981 
    0.00167723  0.000174959 
    0.00169924  0.000175523 
    0.00171391   0.00017654 
    0.00173427  0.000178943 
    0.00175131  0.000181853 
